Id,Type,Instance,Charge,Stage,User,Group,Account,Organization,Class,QualityOfService,Machine,Nodes,Processors,CPUTime,Memory,Disk,Duration,StartTime,EndTime,Description,NodeID
2883602,Job,28532885[1134],0,Charge,karkri,karkri,ku_00009,,batch,,pbs,1,40,5298960,,,132474,2020-12-30 14:45:27,2021-01-01 03:33:21,,{g-07-c0452}
2883607,Job,28596880[658],0,Charge,acek,cu_10051,cu_10051,,batch,,pbs,1,40,217353,,,9128,2021-01-01 07:13:52,2021-01-01 09:46:00,,{g-05-c0344}
2883598,Job,28596871,0,Charge,ashvag,ku-cbd,ku-cbd,,batch,,pbs,1,40,195480,,,4887,2020-12-31 23:35:07,2021-01-01 00:56:34,,{g-01-c0022}
2883595,Job,28596848,0,Charge,stafre,stafre,cu_10039,,batch,,pbs,1,40,244520,,,6113,2020-12-31 23:00:24,2021-01-01 00:42:17,,{g-06-f0019}
2883613,Job,28596883,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,325560,,,8139,2021-01-01 09:58:11,2021-01-01 12:13:50,,{g-11-g0019}
2883610,Job,28596887,0,Charge,dinghe,dinghe,ku_00039,,batch,,pbs,1,40,5320,,,133,2021-01-01 11:17:46,2021-01-01 11:19:59,,{g-05-c0344}
2883624,Job,28596926,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,5400,,,135,2021-01-01 16:26:57,2021-01-01 16:29:12,,{g-01-c0007}
2883622,Job,28596924,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,1320,,,33,2021-01-01 16:26:24,2021-01-01 16:26:57,,{g-01-c0008}
2883586,Job,28596870,0,Charge,jintan,cu_10074,cu_10074,,batch,,pbs,3,160,438560,,,2741,2020-12-31 23:27:10,2021-01-01 00:12:51,,"{g-01-c0028,g-01-c0007,g-01-c0016}"
2883591,Job,28596570,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,323660,,,23480,2020-12-31 17:56:56,2021-01-01 00:28:16,,{g-01-c0027}
2883601,Job,28532885[1719],0,Charge,karkri,karkri,ku_00009,,batch,,pbs,1,80,1815280,,,45382,2020-12-31 14:20:09,2021-01-01 02:56:31,,{g-01-c0076}
2883603,Job,28596881,0,Charge,antalb,ku-cbd,ku-cbd,,batch,,pbs,1,80,12720,,,159,2021-01-01 07:14:26,2021-01-01 07:17:05,,{g-01-c0016}
2883608,Job,28596882,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,458800,,,11470,2021-01-01 08:04:23,2021-01-01 11:15:33,,{g-11-g0020}
2883605,Job,28596880[696],0,Charge,acek,cu_10051,cu_10051,,batch,,pbs,1,40,73213,,,5491,2021-01-01 07:13:52,2021-01-01 08:45:23,,{g-05-c0344}
2883614,Job,28596894,0,Charge,dinghe,dinghe,ku_00039,,batch,,pbs,1,40,19720,,,493,2021-01-01 12:13:50,2021-01-01 12:22:03,,{g-05-c0344}
2883617,Job,28596890,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,405320,,,10133,2021-01-01 11:24:57,2021-01-01 14:13:50,,{g-11-g0013}
2883584,Job,28596569,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,291880,,,21891,2020-12-31 17:56:56,2021-01-01 00:01:47,,{g-01-c0027}
2883646,Job,28589888,0,Charge,kedous,ku_00047,ku_00047,,batch,,pbs,1,40,7970560,,,199264,2020-12-30 11:36:05,2021-01-01 18:57:09,,{g-11-f0041}
2883652,Job,28596956,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,331680,,,8292,2021-01-01 17:40:59,2021-01-01 19:59:11,,{g-11-g0020}
2883643,Job,28596955,0,Charge,jonjen,ht2_leukngs,ht2_leukngs,,batch,,pbs,1,40,1320,,,33,2021-01-01 17:40:26,2021-01-01 17:40:59,,{g-09-c0586}
2883628,Job,28596911,0,Charge,wanlhe,cu_10108,cu_10108,,batch,,pbs,1,40,281120,,,7028,2021-01-01 14:48:13,2021-01-01 16:45:21,,{g-09-c0586}
2883659,Job,28596978,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1422,,,200,2021-01-01 21:30:34,2021-01-01 21:33:54,,{g-01-c0011}
2883629,Job,28596932,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,27600,,,690,2021-01-01 16:34:25,2021-01-01 16:45:55,,{g-01-c0024}
2883662,Job,28596980,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1320,,,66,2021-01-01 21:33:54,2021-01-01 21:35:00,,{g-01-c0022}
2883653,Job,28596966,0,Charge,jonjen,ht2_leukngs,ht2_leukngs,,batch,,pbs,1,40,1320,,,33,2021-01-01 20:32:41,2021-01-01 20:33:14,,{g-09-c0613}
2883654,Job,28596958,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,418680,,,10467,2021-01-01 17:40:59,2021-01-01 20:35:26,,{g-11-g0017}
2883651,Job,28596964,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,236760,,,5919,2021-01-01 18:14:28,2021-01-01 19:53:07,,{g-11-g0013}
2883633,Job,28596040[1],0,Charge,deispo,microbiome,microbiome,,batch,,pbs,1,80,3170200,,,79255,2020-12-31 18:48:52,2021-01-01 16:49:47,,{g-10-c0678}
2883626,Job,28596928,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,5400,,,135,2021-01-01 16:26:57,2021-01-01 16:29:12,,{g-01-c0023}
2883658,Job,28596974,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,886,,,133,2021-01-01 21:30:34,2021-01-01 21:32:47,,{g-01-c0011}
2883650,Job,28596963,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,234120,,,5853,2021-01-01 18:13:55,2021-01-01 19:51:28,,{g-11-g0015}
2883640,Job,28596949,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,5280,,,132,2021-01-01 17:07:13,2021-01-01 17:09:25,,{g-01-c0007}
2883632,Job,28596931,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,35560,,,889,2021-01-01 16:34:25,2021-01-01 16:49:14,,{g-01-c0007}
2883642,Job,28596903,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,455640,,,11391,2021-01-01 14:31:08,2021-01-01 17:40:59,,{g-11-g0020}
2883663,Job,28596975,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,3754,,,497,2021-01-01 21:30:34,2021-01-01 21:38:51,,{g-01-c0011}
2883664,Job,28596981,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,2332,,,297,2021-01-01 21:33:54,2021-01-01 21:38:51,,{g-01-c0011}
2883656,Job,28596969,0,Charge,ashvag,ku-cbd,ku-cbd,,batch,,pbs,1,40,1320,,,33,2021-01-01 21:26:52,2021-01-01 21:27:25,,{g-01-c0022}
2883667,Job,28596972,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,8627,,,763,2021-01-01 21:30:34,2021-01-01 21:43:17,,{g-01-c0011}
2883669,Job,28596968,0,Charge,jonjen,ht2_leukngs,ht2_leukngs,,batch,,pbs,1,40,130120,,,3253,2021-01-01 21:03:20,2021-01-01 21:57:33,,{g-09-c0586}
2883637,Job,28596946,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,1760,,,132,2021-01-01 17:07:13,2021-01-01 17:09:25,,{g-01-c0008}
2883649,Job,28596957,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,293480,,,7337,2021-01-01 17:40:59,2021-01-01 19:43:16,,{g-11-g0019}
2883631,Job,28596934,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,27600,,,690,2021-01-01 16:34:25,2021-01-01 16:45:55,,{g-01-c0021}
2883625,Job,28596927,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,5400,,,135,2021-01-01 16:26:57,2021-01-01 16:29:12,,{g-01-c0024}
2883668,Job,28596982,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,7205,,,563,2021-01-01 21:33:54,2021-01-01 21:43:17,,{g-01-c0011}
2883641,Job,28596923,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,194880,,,4872,2021-01-01 16:15:55,2021-01-01 17:37:07,,{g-11-g0019}
2883665,Job,28596971,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,17240,,,564,2021-01-01 21:30:34,2021-01-01 21:39:58,,{g-01-c0022}
2883657,Job,28596973,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,2000,,,100,2021-01-01 21:30:34,2021-01-01 21:32:14,,{g-01-c0022}
2883648,Job,28596965,0,Charge,cryosparc,cryosparc,cpr_mx,,batch,,pbs,1,40,189520,,,4738,2021-01-01 18:15:28,2021-01-01 19:34:26,,{g-11-g0009}
2883644,Job,28596960,0,Charge,jonjen,ht2_leukngs,ht2_leukngs,,batch,,pbs,1,40,1320,,,33,2021-01-01 17:51:39,2021-01-01 17:52:12,,{g-09-c0586}
2883636,Job,28595474,0,Charge,fasaba,fasaba,ku-cbd,,batch,,pbs,1,40,4281640,,,107041,2020-12-31 11:21:32,2021-01-01 17:05:33,,{g-09-c0579}
2883634,Job,28596930,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,36880,,,922,2021-01-01 16:34:25,2021-01-01 16:49:47,,{g-01-c0008}
2883630,Job,28596933,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,27600,,,690,2021-01-01 16:34:25,2021-01-01 16:45:55,,{g-01-c0023}
2883645,Job,28596961,0,Charge,laandr,cu_10039,cu_10039,,batch,,pbs,1,40,3560,,,178,2021-01-01 17:58:49,2021-01-01 18:01:47,,{g-01-c0011}
2883638,Job,28596947,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,1760,,,132,2021-01-01 17:07:13,2021-01-01 17:09:25,,{g-01-c0008}
2883660,Job,28596979,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,2000,,,100,2021-01-01 21:32:14,2021-01-01 21:33:54,,{g-01-c0022}
2883655,Job,28596937,0,Charge,xinsun,ku-cbd,ku-cbd,,batch,,pbs,1,80,584160,,,14604,2021-01-01 16:50:22,2021-01-01 20:53:46,,{g-10-c0678}
2883666,Job,28596976,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,4647,,,564,2021-01-01 21:30:34,2021-01-01 21:39:58,,{g-01-c0011}
2883635,Job,28596936,0,Charge,xinsun,xinsun,ku-cbd,,batch,,pbs,1,40,1400,,,35,2021-01-01 16:49:47,2021-01-01 16:50:22,,{g-01-c0008}
2883639,Job,28596948,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,1760,,,132,2021-01-01 17:07:13,2021-01-01 17:09:25,,{g-01-c0008}
2883661,Job,28596977,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1642,,,233,2021-01-01 21:30:34,2021-01-01 21:34:27,,{g-01-c0011}
2883647,Job,28596915,0,Charge,laandr,cu_10039,cu_10039,,batch,,pbs,1,40,643120,,,16167,2021-01-01 15:04:59,2021-01-01 19:34:26,,{g-01-c0011}
2883627,Job,28596929,0,Charge,brualv,vaccine,vaccine,,batch,,pbs,1,40,5400,,,135,2021-01-01 16:26:57,2021-01-01 16:29:12,,{g-01-c0021}
2883685,Job,28597046,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,2000,,,100,2021-01-01 22:49:20,2021-01-01 22:51:00,,{g-01-c0011}
2883687,Job,28596987,0,Charge,jonjen,ht2_leukngs,ht2_leukngs,,batch,,pbs,1,40,140240,,,3506,2021-01-01 21:57:00,2021-01-01 22:55:26,,{g-09-c0565}
2883715,Job,28597094,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,2680,,,67,2021-01-01 23:33:56,2021-01-01 23:35:03,,{g-01-c0011}
2883694,Job,28597064,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,680,,,68,2021-01-01 23:10:37,2021-01-01 23:11:45,,{g-01-c0011}
2883683,Job,28597001,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,79960,,,1999,2021-01-01 22:10:02,2021-01-01 22:43:21,,{g-01-c0022}
2883682,Job,28597000,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,6091,,,594,2021-01-01 22:06:08,2021-01-01 22:16:02,,{g-01-c0011}
2883714,Job,28597090,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,6720,,,168,2021-01-01 23:31:08,2021-01-01 23:33:56,,{g-01-c0022}
2883692,Job,28597058,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,8320,,,466,2021-01-01 23:02:51,2021-01-01 23:10:37,,{g-01-c0011}
2883689,Job,28597049,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,19120,,,677,2021-01-01 22:51:34,2021-01-01 23:02:51,,{g-01-c0011}
2883713,Job,28597087,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,4013,,,163,2021-01-01 23:29:34,2021-01-01 23:32:17,,{g-01-c0011}
2883681,Job,28596992,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,7291,,,793,2021-01-01 22:02:49,2021-01-01 22:16:02,,{g-01-c0011}
2883708,Job,28597010,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,7331,,,4866,2021-01-01 22:10:02,2021-01-01 23:31:08,,{g-01-c0027}
2883676,Job,28596989,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,17320,,,433,2021-01-01 22:02:49,2021-01-01 22:10:02,,{g-01-c0022}
2883679,Job,28596999,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,2691,,,339,2021-01-01 22:06:08,2021-01-01 22:11:47,,{g-01-c0011}
2883700,Job,28597072,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,893,,,67,2021-01-01 23:16:37,2021-01-01 23:17:44,,{g-01-c0011}
2883711,Job,28597089,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1253,,,94,2021-01-01 23:29:34,2021-01-01 23:31:08,,{g-01-c0011}
2883705,Job,28597018,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,6690,,,4465,2021-01-01 22:10:02,2021-01-01 23:24:27,,{g-01-c0027}
2883680,Job,28596967,0,Charge,jonjen,ht2_leukngs,ht2_leukngs,,batch,,pbs,1,40,203080,,,5077,2021-01-01 20:48:16,2021-01-01 22:12:53,,{g-09-c0613}
2883709,Job,28597086,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,3760,,,94,2021-01-01 23:29:34,2021-01-01 23:31:08,,{g-01-c0022}
2883697,Job,28597067,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1133,,,68,2021-01-01 23:11:45,2021-01-01 23:12:53,,{g-01-c0011}
2883693,Job,28597015,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,5467,,,3670,2021-01-01 22:10:02,2021-01-01 23:11:12,,{g-01-c0027}
2883674,Job,28596997,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,446,,,67,2021-01-01 22:05:01,2021-01-01 22:06:08,,{g-01-c0011}
2883686,Job,28597045,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,3360,,,134,2021-01-01 22:49:20,2021-01-01 22:51:34,,{g-01-c0011}
2883701,Job,28597073,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,893,,,67,2021-01-01 23:16:37,2021-01-01 23:17:44,,{g-01-c0011}
2883696,Job,28597063,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1133,,,102,2021-01-01 23:10:37,2021-01-01 23:12:19,,{g-01-c0011}
2883710,Job,28597088,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1253,,,94,2021-01-01 23:29:34,2021-01-01 23:31:08,,{g-01-c0011}
2883712,Job,28597028,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,7303,,,4864,2021-01-01 22:10:38,2021-01-01 23:31:42,,{g-01-c0027}
2883695,Job,28597065,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,680,,,68,2021-01-01 23:10:37,2021-01-01 23:11:45,,{g-01-c0011}
2883706,Job,28595482,0,Charge,fasaba,fasaba,ku-cbd,,batch,,pbs,1,40,5188280,,,129707,2020-12-31 11:23:19,2021-01-01 23:25:06,,{g-07-c0414}
2883684,Job,28597029,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,82582,,,2288,2021-01-01 22:10:38,2021-01-01 22:48:46,,{g-01-c0011}
2883699,Job,28597057,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,16353,,,791,2021-01-01 23:02:51,2021-01-01 23:16:02,,{g-01-c0011}
2883675,Job,28596998,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,673,,,101,2021-01-01 22:05:35,2021-01-01 22:07:16,,{g-01-c0011}
2883691,Job,28597056,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1000,,,100,2021-01-01 23:02:51,2021-01-01 23:04:31,,{g-01-c0011}
2883678,Job,28596995,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,3541,,,503,2021-01-01 22:02:49,2021-01-01 22:11:12,,{g-01-c0011}
2883690,Job,28597055,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1000,,,100,2021-01-01 23:02:51,2021-01-01 23:04:31,,{g-01-c0011}
2883707,Job,28597037,0,Charge,jonjen,ht2_leukngs,ht2_leukngs,,batch,,pbs,1,40,116160,,,2904,2021-01-01 22:38:56,2021-01-01 23:27:20,,{g-08-c0488}
2883703,Job,28597075,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1360,,,68,2021-01-01 23:17:44,2021-01-01 23:18:52,,{g-01-c0011}
2883670,Job,28596990,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,754,,,132,2021-01-01 22:02:49,2021-01-01 22:05:01,,{g-01-c0011}
2883672,Job,28596996,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,980,,,166,2021-01-01 22:02:49,2021-01-01 22:05:35,,{g-01-c0011}
2883702,Job,28597071,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1573,,,101,2021-01-01 23:16:37,2021-01-01 23:18:18,,{g-01-c0011}
2883698,Job,28597068,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1340,,,67,2021-01-01 23:12:53,2021-01-01 23:14:00,,{g-01-c0011}
2883671,Job,28596993,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,754,,,132,2021-01-01 22:02:49,2021-01-01 22:05:01,,{g-01-c0011}
2883688,Job,28597048,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,7960,,,398,2021-01-01 22:51:34,2021-01-01 22:58:12,,{g-01-c0011}
2883704,Job,28597078,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,2040,,,68,2021-01-01 23:18:18,2021-01-01 23:19:26,,{g-01-c0011}
2883677,Job,28596994,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,3269,,,469,2021-01-01 22:02:49,2021-01-01 22:10:38,,{g-01-c0011}
2883673,Job,28596991,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,1200,,,199,2021-01-01 22:02:49,2021-01-01 22:06:08,,{g-01-c0011}
2883739,Job,28597026,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,9313,,,5723,2021-01-01 22:10:38,2021-01-01 23:46:01,,{g-01-c0027}
2883743,Job,28597041,0,Charge,jonjen,ht2_leukngs,ht2_leukngs,,batch,,pbs,1,40,148160,,,3704,2021-01-01 22:45:25,2021-01-01 23:47:09,,{g-07-c0409}
2883720,Job,28597012,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,7982,,,5236,2021-01-01 22:10:02,2021-01-01 23:37:18,,{g-01-c0027}
2883741,Job,28597023,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,9483,,,5757,2021-01-01 22:10:38,2021-01-01 23:46:35,,{g-01-c0027}
2883756,Job,28597007,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,25953,,,6334,2021-01-01 22:10:02,2021-01-01 23:55:36,,{g-01-c0027}
2883737,Job,28597014,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,9397,,,5759,2021-01-01 22:10:02,2021-01-01 23:46:01,,{g-01-c0027}
2883729,Job,28597016,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,8366,,,5405,2021-01-01 22:10:02,2021-01-01 23:40:07,,{g-01-c0027}
2883744,Job,28597024,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,9989,,,5826,2021-01-01 22:10:38,2021-01-01 23:47:44,,{g-01-c0027}
2883717,Job,28597009,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,7853,,,5168,2021-01-01 22:10:02,2021-01-01 23:36:10,,{g-01-c0027}
2883749,Job,28597042,0,Charge,jonjen,ht2_leukngs,ht2_leukngs,,batch,,pbs,1,40,150840,,,3771,2021-01-01 22:46:33,2021-01-01 23:49:24,,{g-07-c0408}
2883721,Job,28597027,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,7898,,,5200,2021-01-01 22:10:38,2021-01-01 23:37:18,,{g-01-c0027}
2883761,Job,28597127,0,Charge,ashvag,ashvag,ku-cbd,,batch,,pbs,1,40,660,,,99,2021-01-02 00:03:51,2021-01-02 00:05:30,,{g-01-c0019}
2883736,Job,28597020,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,9190,,,5689,2021-01-01 22:10:38,2021-01-01 23:45:27,,{g-01-c0027}
2883740,Job,28597021,0,Charge,icarri,vaccine,vaccine,,batch,,pbs,1,40,9483,,,5757,2021-01-01 22:10:38,2021-01-01 23:46:35,,{g-01-c0027}
2883745,Job,28596195,0,Charge,mskl,cu_10124,cu_10124,,batch,,pbs,1,40,4424260,,,112913,2020-12-31 16:27:31,2021-01-01 23:49:24,,{g-02-c0096}
2883752,Job,28597038,0,Charge,jonjen,ht2_leukngs,ht2_leukngs,,batch,,pbs,1,40,170600,,,4265,2021-01-01 22:40:35,2021-01-01 23:51:40,,{g-07-c0426}
2883754,Job,28597039,0,Charge,jonjen,ht2_leukngs,ht2_leukngs,,batch,,pbs,1,40,169400,,,4235,2021-01-01 22:42:47,2021-01-01 23:53:22,,{g-07-c0410}
2883753,Job,28597051,0,Charge,jonjen,ht2_leukngs,ht2_leukngs,,batch,,pbs,1,40,137680,,,3442,2021-01-01 22:54:52,2021-01-01 23:52:14,,{g-05-c0327}
